question,answer,supporting_facts,graph_path,type,source,prob_yes,Corrected Question,Comments
,"Pilak, Tripura","A scenic reservoir crowned by the Neermahal, popular for boating and sunset views.|An archaeological site with Buddhist and Hindu sculptures dating back to 8th-12th century.",tourism:rudrasagar_lake|state:tripura|history:pilak_tripura,A,bank,0.9994018077850342,"Which historic site, famous for archaeological remains with Buddhist and Hindu sculptures dating back to the 8th-12th century, is associated with the same state where the tourist attraction Rudrasagar Lake (known for popular boating and sunset views) is associated?",Grammatical Changes
"Which historic site, famous for including the right to sovereign territory, is associated with the same state where the festival Baha parab (known for spring festival of the santhal tribe) is celebrated?",Pathalgadi movment,"A spring festival of the Santhal tribe, celebrating nature and community.|A resistance movement started by tribals to assert their rights, including the right to sovereign territory ,it literally translates to 'carving a stone'. On these stones orders would be carved by the tribals, orders such as restricting the entry of outsiders",festival:baha_parab|state:jharkhand|history:pathalgadi_movment,C,bank,0.9990634322166443,"Which historic event, famous for including the right to sovereign territory, is associated with the same state where the festival Baha parab is celebrated?",
"Which historic site, famous for incorporated under the dentist act, was established in the same state where the temple Lotus Temple (known for notable for its lotus-like shape) is associated?",Dental Council of India,"Temple notable for its lotus-like shape|Incorporated under The Dentist Act,1948 to regulate dental education and the profession,financed by the Ministry of Health and Family Welfare and through the local state dental councils",tourism:lotus_temple|state:delhi|history:dental_council_india,A,bank,0.9994505047798157,"Which historic site, famous for being incorporated under the dentist act, is established in the same state where the Lotus Temple (known for notable for its lotus-like shape) is associated?",
"Which tourist attraction, famous for frigate of the indian navy, is associated with the same state where the historic site Diu Head (known for headland in the arabian sea) is associated?",INS Khukri Memorial,"A headland in the Arabian Sea, located at the southern end of the Kathiawar Peninsula in the Union Territory and 17 km southeast of Kodinar town|A frigate of the Indian Navy.It was inaugurated on 15th December, 1999 and is found erected on the hillock at Chakratirth beach. It is a replica of the INS Khukri Naval Ship",history:diu_head|state:dadra_nagar_haveli_daman_diu|tourism:ins_khukri_memorial,C,bank,0.9971823692321777,"Which tourist attraction, famous for a frigate of the Indian Navy, is associated with the same state where the historic site Diu Head (known for its headland in the Arabian Sea) is located?",Grammatical Changes
"Which traditional Tibetan Buddhist scroll painting style, known for being displayed in monasteries and common in Sikkim, was created in the same Indian state where Samiti Lake — an alpine glacial lake in the Onglakthang Valley — is located?",Thanka Painting,"An alpine glacial lake sits at the bottom of Onglakthang Valley|A Tibetan Buddhist religious scroll painting found hanging in monasteries and in Sikkimese homes, on cotton or silk, bordered with brocade and often dyes together with gold dust and gold thread",tourism:samiti_lake|state:sikkim|art:thanka_painting,A,bank,0.9921843409538269,"Which traditional Tibetan Buddhist scroll painting style, known for being displayed in monasteries and common in Sikkim, originated in the same Indian state where Samiti Lake — an alpine glacial lake in the Onglakthang Valley — is located?",Grammatical Changes
"Which traditional costume, made from wild silk varieties such as Muga and Eri and geographically tagged to its state of origin, comes from the same Indian state where Assam tea is produced?",Muga Silk,"A black tea is manufactured specifically from the plant Camellia sinensis,now mostly grown at or near sea level and is known for its body, briskness, malty flavour, and strong, bright colour|A variety of wild silk geographically tagged to the state.The silk is known for its extreme durability and has a natural yellowish-golden tint with a shimmering, glossy texture and was previously reserved for the use of royalty",cuisine:assam_tea|state:assam|costume:muga_silk,A,gold,NA,"Which traditional costume, made from wild silk varieties such as Muga and Eri and geographically tagged to its state of origin, comes from the same Indian state where Assam tea is produced?",This one was already correct; only minor spacing/punctuation was kept consistent.
"Which wildlife sanctuary, spanning over 130 square kilometres (50 sq mi), is located in the same Indian state where the Paigah Palace—built after donating the famous Falaknuma Palace—is located?",Pocharam Wildlife Sanctuary,"A palace was built by Sir Vicar-ul-Umra, a Paigah nobleman. This was built after he gave the famous Falaknuma Palace to the sixth Nizam, Mahbub Ali Khan, Asaf Jah VI.|A forest and wildlife sanctuary spanning over 130 square kilometres (50 sq mi), it was a former hunting ground of the Nizam that was declared a wildlife sanctuary in the early 20th century.The sanctuary has an ecotourism center for visitors.It is home to many species of birds and mammals.",history:paigah_palace|state:telangana|tourism:pocharam_wildlife_sanctuary,A,bank,0.996802806854248,"Which wildlife sanctuary, spanning over 130 square kilometres (50 sq mi), is located in the same Indian state where the Paigah Palace—built after its owner donated the famous Falaknuma Palace to the Nizam—is situated?",Clarified the palace’s history by specifying “its owner” and improved dash usage for smoother readability.
"Which fort, built during the 15th century and located on the western range of the Aravalli Hills, is in the same Indian state where the traditional Thewa jewelry originates?",Kumbhalgarh Fort,A special art of jewelry making which involves fusing of intricately worked-out sheet gold on molten glass|A fortress on the westerly range of Aravalli Hills built during the 15th century by Rana Kumbha.,costume:thewa_jewelry|state:rajasthan|tourism:kumbhalgarh_fort,A,gold,NA,"Which fort, built during the 15th century and located on the western range of the Aravalli Hills, is in the same Indian state where the traditional Thewa jewellery originates?",Fixed “jewelry” to British spelling “jewellery” for consistency with Indian English.
"Which UNESCO World Heritage Site, a collection of 7th- and 8th-century CE religious monuments in a coastal resort town, is located in the same Indian state where Tamil palm leaf manuscripts originated?",Mahabalipuram,"Manuscripts made out of dried palm leaves,used as writing materials in the Indian subcontinent and in Southeast Asia dating back to the 5th century BCE.Their use began in South Asia and spread to other regions, as texts on dried and smoke-treated palm leaves of the Palmyra or talipot palm.Their use continued until the 19th century when printing presses replaced hand-written manuscripts.One of the oldest surviving palm leaf manuscripts of a complete treatise is a Sanskrit Shaivism text from the 9th century.|A collection of 7th- and 8th-century CE religious monuments in the coastal resort town and is a UNESCO World Heritage Site.It is on the Coromandel Coast of the Bay of Bengal, about 60 kilometres (37 mi) south of Chennai.",history:tamil_palm_leaf_manuscripts|state:tamil_nadu|tourism:mahabalipuram,A,gold,NA,"Which UNESCO World Heritage Site, a collection of 7th- and 8th-century CE religious monuments in a coastal resort town, is located in the same Indian state where Tamil palm leaf manuscripts originated?","Reworded for clarity, added “UNESCO World Heritage Site” context, and avoided redundant location phrasing."
"Which historic site, known for its extensive network of tunnels with square-hewn steps, is located in the same Indian state where St. Paul's Church—associated with the College of the Holy Spirit and the Church of Our Lady—is found?",The Naida Caves,"College of the Holy Spirit and Church of Our Lady of the Conception or Saint Paul is situated on the west coast of India, a Union Territory of India|A big network of tunnels with square hewn steps, which is yet to be fully explored, constructed by the Portuguese.The place is also well connected by road",tourism:st_paul_s_church|state:dadra_nagar_haveli_daman_diu|history:naida_caves,A,bank,0.9989511966705322,"Which historic site, known for its extensive network of tunnels with square-hewn steps, is located in the same Indian state where St. Paul’s Church—associated with the College of the Holy Spirit and the Church of Our Lady—is situated?","Standardized apostrophes, refined dash usage, and adjusted “found” to “situated” for formal tone."
