Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
History,Naina devi Temple,Nainital,Uttarakhand,A temple located on the northern bank of the Naini Lake,This temple was destroyed by a landslide in 1880.,There are two eyes in the temple which represent Naina Devi.,,A temple located on the northern bank of the Naini Lake,,"https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A5%88%E0%A4%A8%E0%A4%BE_%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%80_%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0,_%E0%A4%A8%E0%A5%88%E0%A4%A8%E0%A5%80%E0%A4%A4%E0%A4%BE%E0%A4%B2",https://en.wikipedia.org/wiki/Kavigan,,,"A temple located on the northern bank of the Naini Lake famous throughout India, originated in Nainital, Uttarakhand",,,,,,,,,,,History,Uttarakhand,"The state in which the famous hill station Nainital is located is also home to a temple on the northern bank of Naini Lake, considered a significant cultural artifact. What is the name of this temple?"
Festival,Purnagiri Mela,Champawat,Uttarakhand,The religious festival held at the Purnagiri temple,The religious festival is held here every year to honor Goddess Sati,The fair is held during Chaitra Navratre.,,The religious festival held at the Purnagiri temple,,https://utsav.gov.in/view-event/purnagiri-mela-1,,,,"The religious festival held at the Purnagiri temple  famous throughout India, originated in Champawat",,,,,,,,,,,Festival,Andhra_Pradesh,
History,Alaknanda River,Devprayag,Uttarakhand,A sacred Himalayan river and one of the two headstreams of the Ganges ,It is considered holy in Hinduism,It originates at the confluence of the Satopanth and Bhagirath Kharak glaciers,,A sacred Himalayan river and one of the two headstreams of the Ganges which is considered holy in Hinduism originates at the confluence of the Satopanth and Bhagirath Kharak glaciers,,https://en.wikipedia.org/wiki/Alaknanda_River,,,,,,,,,,,,,,,Tourism,Arunachal_Pradesh,
Tourism,Chota Char Dham,Garhwal region,Uttarakhand,"A Hindu pilgrimage circuit consists of four sacred sites Yamunotri, Gangotri, Kedarnath, and Badrinath ","considered holy due to their associations with the Ganges and Yamuna rivers, Lord Shiva, and Lord Vishnu",,,"A Hindu pilgrimage circuit consists of four sacred sites Yamunotri, Gangotri, Kedarnath, and Badrinath considered holy due to their associations with the Ganges and Yamuna rivers, Lord Shiva, and Lord Vishnu",,https://uttarakhandtourism.gov.in/experiences/char-dham,,,,,,,,,,,,,,,Personalities,Chhattisgarh,
History,Tungnath,Rudraprayag_district,Uttarakhand,One the highest Shiva temples in the world,"located at an altitude of 3,680 m (12,073 ft)",just below the peak of Chandrashila,,"One the highest Shiva temples in the world located at an altitude of 3,680 m (12,073 ft), and just below the peak of Chandrashila",,https://en.wikipedia.org/wiki/Tungnath,,,,,,,,,,,,,,,Costume,West_Bengal,
History,Kedarnath town,Rudraprayag district,Uttarakhand,"A small, high-altitude Himalayan town known for its iconic Kedarnath Temple"," It is a revered pilgrimage site for Hindus located at 3,584 meters (11,755 ft) near the Chorabari Glacier","Source of the Mandakini River, and is surrounded by snow-capped mountains",,"A small, high-altitude Himalayan town known for its iconic Kedarnath Temple, a revered pilgrimage site for Hindus located at 3,584 meters (11,755 ft) near the Chorabari Glacier, source of the Mandakini River, and is surrounded by snow-capped mountains",,https://badrinath-kedarnath.gov.in/AboutUs/shri-kedarnath.aspx,,,,,,,,,,"A small, high-altitude Himalayan town known for its iconic Kedarnath Temple, a revered pilgrimage site for Hindus located at 3,584 meters (11,755 ft) near the Chorabari Glacier, source of the Mandakini River, and is surrounded by snow-capped mountains, originated in Rudraprayag_district of a state widely known for Gangotri.",,,,,Language,Andaman_and_Nicobar,
History,Nanda Devi,Chamoli district,Uttarakhand,The 23rd-highest peak in the world and ranked 74th by prominence ,the highest mountain in the world before computations in 1808,,,The 23rd-highest peak in the world and ranked 74th by prominence and the highest mountain in the world before computations in 1808,,https://en.wikipedia.org/wiki/Nanda_Devi,,,,,,,,,,a state widely known for Sage Vashistha's enlightenment cave,,,,,Religion,Jammu_kashmir,
Festival,Ganga Dussehra,Haridwar,Uttarakhand,A  Hindu festival celebrating the avatarana  of the Ganges ,Was believed by Hindus that the holy river Ganges descended from heaven to earth on this day,,,A  Hindu festival celebrating the avatarana  of the Ganges believed by Hindus that the holy river Ganges descended from heaven to earth on this day,,https://en.wikipedia.org/wiki/Ganga_Dussehra,,,,,,,,,,,,,,,Dance_and_Music,Himachal_Pradesh,
History,Bhagirathi,Devprayag,Uttarakhand,"A name for the river Ganga, specifically the  river that emerges from the Gangotri Glacier ",personified by King Bhagiratha's efforts to bring the river to earth,,,"A name for the river Ganga, specifically referring to its source stream, the river that emerges from the Gangotri Glacier considered the divine origin of the Ganga in Hindu mythology, personified by King Bhagiratha's efforts to bring the river to earth",,https://en.wikipedia.org/wiki/Bhagirathi_River,,,,,,,,,,,,,,,Cuisine,Sikkim,
History,Gangotri,Uttarkashi district,Uttarakhand,A Hindu pilgrim town on the banks of the river Bhagirathi ,"located on the Greater Himalayan Range, at a height of 3,100 metres (10,200 ft)",,,"A Hindu pilgrim town on the banks of the river Bhagirathi located on the Greater Himalayan Range, at a height of 3,100 metres (10,200 ft)",,https://uttarakhandtourism.gov.in/destination/gangotri,,,,,,,,,,,,,,,Sports,Punjab,
