entity,label,count
hindu,NORP,265
buddhist,NORP,83
shiva,PERSON,80
european,NORP,46
british,NORP,44
assamese,NORP,38
dzongu,GPE,33
lepcha,ORG,31
km²,PERSON,29
hindi,GPE,24
deccan,NORP,23
imphal,GPE,22
himalayan,NORP,21
french,NORP,21
camellia,GPE,20
awadhi,PERSON,19
portuguese,NORP,18
mahabharata,ORG,18
jain,ORG,17
vijayanagara empire,PERSON,17
sufi,NORP,17
kannada,PERSON,17
islamic,NORP,17
tani,LOC,16
kherwarian,NORP,16
vedic,PRODUCT,16
tibetan,NORP,16
gyalshing city,GPE,15
pathalgadi,PERSON,15
joha,GPE,15
thai,NORP,15
kumaon,ORG,15
tamil,PERSON,14
gopurams,GPE,14
siddha,PERSON,14
tai khamti,PERSON,14
hyderabad,ORG,14
gajan,GPE,14
buddha,PERSON,14
lugdi,PRODUCT,14
vijayawada,GPE,14
unesco world heritage site,ORG,13
errum manzil,PERSON,13
ramakrishnapuram lake,PERSON,13
kol,NORP,13
paigah,LOC,13
mahamaham,ORG,13
majuli,PERSON,13
kambala,GPE,13
chettinad,PERSON,13
kantha,GPE,13
mosques,FAC,13
dia mirza,PERSON,13
krishna,PERSON,13
sushmita sen,PERSON,12
drukpa,PERSON,12
the church of south india,ORG,12
khamti pottery,ORG,12
lumbini park,PERSON,12
paljor stadium,FAC,12
awadh,GPE,12
holi,PERSON,12
the subansiri river,LOC,12
bella vista,PERSON,12
the qutb shahi,EVENT,12
the ministry of culture,ORG,12
great living chola temples,WORK_OF_ART,12
assam silk,PERSON,12
tibetan buddhist,NORP,11
muga,PERSON,11
kanchi kamakoti peetham,PERSON,11
kali puja,PERSON,11
the palace grounds,FAC,11
mithila,LOC,11
rang ghar,PERSON,11
basavanna,LOC,11
jharkhand,GPE,11
chikankari,ORG,11
lingayats,PERSON,11
cheriyal,ORG,11
gamosa,PERSON,11
mohammedans,NORP,11
nataraja,EVENT,11
mysore pak,PERSON,11
pusam,PERSON,11
bhagta parab,PERSON,11
south asia,LOC,11
sohrai and khovar,ORG,11
tagin,NORP,11
the new year,EVENT,11
sikkim,GPE,10
monpa,PERSON,10
albert abid,PERSON,10
kali,PERSON,10
the ahom empire,ORG,10
xorai,ORG,10
the gyalwang karmapa,ORG,10
british division,ORG,10
fort,GPE,10
catholic,NORP,10
the sur empire,GPE,10
unesco,ORG,10
rameshwaram island,LOC,10
makar sankranti,PERSON,10
sino-tibetan,NORP,10
ganges,ORG,10
ramcharitmanas,GPE,10
terracotta,ORG,10
tripura,GPE,10
the portuguese empire,ORG,10
luanchari,PERSON,10
santali,PERSON,10
patna museum,ORG,9
pangsau pass,WORK_OF_ART,9
himachali,NORP,9
roman,PERSON,9
naga,PERSON,9
greenery,ORG,9
pampa,ORG,9
the allied forces,ORG,9
christians,NORP,9
south india,LOC,9
vijayadashami,GPE,9
the subarnarekha river,LOC,9
dhooska,ORG,9
the thousand pillar temple,ORG,9
ramayana,PERSON,9
wooden masks,WORK_OF_ART,9
kaziranga national park,FAC,9
kumaoni,PERSON,9
purulia chhau,PERSON,9
pohela boishakh,PERSON,9
hyderabadi muslim,NORP,9
pilak,PERSON,9
yamunotri,GPE,9
vishnu,PERSON,9
edulabad lake,GPE,9
goddess parvati,ORG,9
patna,GPE,9
kanchipuram silk sarees,ORG,9
the british resident general,ORG,9
mahavir,PERSON,8
ibrahim bagh,PERSON,8
the virupaksha temple,ORG,8
khecheopalri lake,GPE,8
venuban vihar,ORG,8
kodava,PERSON,8
huttari,ORG,8
bhaichung stadium,FAC,8
laila tyabji,PERSON,8
dubi copper plate inscriptions,ORG,8
thigalarpet,GPE,8
panguni uthiram,ORG,8
betla national park,FAC,8
khurja,ORG,8
meitei mayek,PERSON,8
puran puri,PERSON,8
santhal,LOC,8
pahari,ORG,8
manipuri,GPE,8
moors,ORG,8
naamghar,PERSON,8
farah,PERSON,8
kol rebellion,LOC,8
olympian,NORP,8
the mughal empire,ORG,8
bhadrachala ramadasu,PERSON,8
chamba rumal,ORG,8
thirubuvanam silk sarees,ORG,8
rama,ORG,8
mary help,PERSON,8
kohima,PERSON,8
sahili,PERSON,8
charminar,GPE,8
mishti doi,PERSON,8
shivangi,PERSON,8
the manjira wildlife sanctuary,ORG,8
taramati baradari,PERSON,7
kangra,ORG,7
durgam cheruvu,ORG,7
guru gorakhnath,PERSON,7
manimahesh kailash,PERSON,7
jesus christ,PERSON,7
temi tea garden,ORG,7
the ujjayanta palace,ORG,7
yaosang,GPE,7
aribam syam sharma,ORG,7
ahwa,GPE,7
nadimi bird island,FAC,7
classical tibetan,ORG,7
buddha park,PERSON,7
gadwal sari,PERSON,7
harmonium,ORG,7
dharmavaram,ORG,7
parab,NORP,7
talatal ghar,WORK_OF_ART,7
udayagiri,ORG,7
shakha pola,PERSON,7
chota,GPE,7
char dham,PERSON,7
bhagirathi,WORK_OF_ART,7
national gallery of modern art,ORG,7
the maurya empire,GPE,7
mekhela sador,PERSON,7
the haora river,LOC,7
dental council of india,ORG,7
sikh,PERSON,7
phool walon ki sair,ORG,7
sharana movement,ORG,7
the vijayanagara empire,GPE,7
kohima war cemetery,EVENT,7
akshaya tritiya,NORP,7
north dravidian,NORP,7
the kol rebellion,LOC,7
the groundnut festival,EVENT,7
ragi mudde,ORG,7
sujani,ORG,7
assam state museum,ORG,7
manjira wildlife sanctuary,ORG,7
golden muga,PERSON,7
garad,PERSON,7
shampy,PERSON,7
the godavari river,LOC,7
preserving india's,ORG,7
rich heritage,PERSON,7
vautha,GPE,7
the lotus temple,ORG,6
the arabian sea,LOC,6
samiti lake,LOC,6
nizam,ORG,6
the state museum,ORG,6
fig,ORG,6
bhadrachalam,PERSON,6
the summer storm festival,EVENT,6
shamirpet lake,LOC,6
mohammad azharuddin,PERSON,6
lingayat,PERSON,6
kodaikanal,ORG,6
the sangken festival,EVENT,6
bogatha waterfall,PERSON,6
tibetan buddhism,ORG,6
the sessa orchid sanctuary,ORG,6
the dree festival,EVENT,6
sarpa kavu,PERSON,6
battle of saraighat,WORK_OF_ART,6
phanigiri,GPE,6
the puranas of hinduism as,PERSON,6
the pushbanta palace,ORG,6
buddha memorial park,PERSON,6
losar,GPE,6
majuli river island,LOC,6
toli masjid,PERSON,6
villianur terracotta works,ORG,6
dangs darbar,ORG,6
bollywood,ORG,6
roman calendar,PERSON,6
khurja pottery,ORG,6
kinnerasani wildlife sanctuary,ORG,6
kurukh,GPE,6
madurai sungudi sarees,ORG,6
laknavaram lake,PERSON,6
nelakondapalli,ORG,6
adis,PERSON,6
ashokan rock edict,WORK_OF_ART,6
kurur,GPE,6
nandanagar,GPE,6
hundru falls,PERSON,6
nati imli,ORG,6
the mahamaham tank,ORG,6
sangai,PRODUCT,6
the assam provincial museum,ORG,6
durga,ORG,6
the kingdom of mysore,GPE,6
nyokum,PERSON,6
hidimbi,PERSON,6
pattachitra,NORP,6
bodh gaya,PERSON,6
the minjar festival,EVENT,6
machher jhol,FAC,6
guwahati,GPE,6
preserving india’s rich heritage,WORK_OF_ART,6
kadamba,ORG,6
shabana azmi,PERSON,6
gunabati group of temples,ORG,6
manjusha,NORP,6
chowmahalla palace,PERSON,6
dholka taluka,PERSON,6
rudrasagar lake,PERSON,5
the college of the holy spirit,ORG,5
shamlaji melo,PERSON,5
abids,WORK_OF_ART,5
the kaveri river,LOC,5
the tibeto-burman,ORG,5
the falaknuma palace,ORG,5
gothic,ORG,5
cheekupally,ORG,5
the pocharam wildlife sanctuary,ORG,5
yamuna,ORG,5
pootharekulu,PERSON,5
tiwa,ORG,5
sri mukhalingam temple,ORG,5
kashmiri,ORG,5
thaipusam,PRODUCT,5
hidimbi devi,PERSON,5
barsana,ORG,5
nandgaon,ORG,5
eastern indo-aryan,LOC,5
southern india,LOC,5
alwal lake,WORK_OF_ART,5
deepika kumari,PERSON,5
pocharam,GPE,5
the asman garh palace,ORG,5
zakir husain,PERSON,5
safilguda lake,LOC,5
the ramanathaswamy temple,ORG,5
kundagannada,ORG,5
nanda devi,PERSON,5
national academy of fine arts,ORG,5
manjunatha,PERSON,5
the trishna wildlife sanctuary,ORG,5
rachakonda fort,WORK_OF_ART,5
argentina,GPE,5
kafuli,PERSON,5
monabarie,ORG,5
cheiraoba,GPE,5
the manipuri new year,FAC,5
zaru,ORG,5
gurkha,PERSON,5
gajam anjaiah,PERSON,5
"the ""tawang monastery",ORG,5
baha parab,WORK_OF_ART,5
bangalore karaga,PERSON,5
tori railway station,FAC,5
khar,PERSON,5
ramman,PERSON,5
pocharam lake,LOC,5
the si-donyi festival,ORG,5
kartik poornima,PERSON,5
lucknow residency,ORG,5
the kashmiri new year,EVENT,5
thaipusam kavadi,PERSON,5
bodhi,ORG,5
torchlight parade,LOC,5
ghaghara,WORK_OF_ART,5
pakhal lake,ORG,5
thang-ta,PERSON,5
khortha,PERSON,5
deepavali,ORG,5
manjusha art,PERSON,5
punjab agricultural university,ORG,5
warangal fort,FAC,5
the tawang monastery,ORG,5
ho,PERSON,5
golghar,PERSON,5
sailo,GPE,5
neermahal,PERSON,5
villianur,ORG,5
kardang monastery,PERSON,5
