entity,label,count
hindi,GPE,9
european,NORP,8
deccan,NORP,7
hyderabad,ORG,4
hussain sagar lake,GPE,4
argentina,GPE,4
nizam,ORG,4
paigah,LOC,4
falaknuma palace,WORK_OF_ART,4
british,NORP,4
buddhist,NORP,4
biryani,PERSON,3
basmati,ORG,3
bollywood,ORG,3
birla mandir,PERSON,3
the gajwel assembly,ORG,3
sushmita sen,PERSON,3
purana pul,FAC,3
mir alam tank,FAC,3
bahadurpura,PERSON,3
pathargatti,PERSON,3
urdu,GPE,3
mir osman,PERSON,3
ali khan,PERSON,3
shamirpet lake,LOC,3
makkah masjid,WORK_OF_ART,3
meetha,PERSON,3
zakir husain,WORK_OF_ART,3
dewan devdi,WORK_OF_ART,3
charminar,PRODUCT,3
banjara hills,GPE,3
rabindranath tagore,PERSON,3
albert abid,PERSON,3
imphal,GPE,3
paigah palace,FAC,2
dia mirza,PERSON,2
mian,NORP,2
cheriyal,ORG,2
mrugavani national park,FAC,2
toli masjid,PERSON,2
telangana state archaeology museum,ORG,2
hindu,NORP,2
chilkur,ORG,2
chowmahalla palace,WORK_OF_ART,2
rashid ali,PERSON,2
hyderabadi muslim,NORP,2
ntr gardens,WORK_OF_ART,2
the gyalwang karmapa,ORG,2
kherwarian,NORP,2
singh munda,PERSON,2
ali yavar jung,PERSON,2
rohit khandelwal,WORK_OF_ART,2
tibetan,NORP,2
sikkimese,GPE,2
k. chandrasekhar rao,PERSON,2
the qutb shahi,EVENT,2
ravindra bharathi,FAC,2
dorjee phurba,ORG,2
shabana azmi,WORK_OF_ART,2
the asaf jahi nizams,ORG,2
wooden masks,WORK_OF_ART,2
gyalshing city,GPE,2
errum manzil,PERSON,1
tibetan buddhist,NORP,1
sikkim,GPE,1
tori railway station,FAC,1
fambong lho wildlife sanctuary,PERSON,1
rumtek monastery,ORG,1
lumbini park,PERSON,1
qubani,PERSON,1
mohammad azharuddin,PERSON,1
bella vista,PERSON,1
ibrahim bagh,PERSON,1
kabhi kabhi aditi,WORK_OF_ART,1
asaf jahi,WORK_OF_ART,1
the “basheer bagh palace,ORG,1
hussain sagar,PERSON,1
nehru zoological park,WORK_OF_ART,1
purani haveli,WORK_OF_ART,1
buddha,PERSON,1
basheer bagh palace,WORK_OF_ART,1
"vvs laxman""—is",PERSON,1
the chowmahalla palace,ORG,1
shyam benegal,PERSON,1
taramati baradari,PERSON,1
khara,PERSON,1
cathedral church of the redemption,ORG,1
gangtok carpet weaving,WORK_OF_ART,1
farah,WORK_OF_ART,1
km²,PERSON,1
khan,PERSON,1
sree shree govindaji temple,WORK_OF_ART,1
kherwarian munda,ORG,1
the 'falaknuma palace,ORG,1
mian mishk mosque,WORK_OF_ART,1
khogampatt gardens,LOC,1
khogampatt,PERSON,1
hyderabadi biryani,PERSON,1
munda language,PERSON,1
cheiraoba,ORG,1
errum,PERSON,1
moula ali hill,PERSON,1
kharchi puja,WORK_OF_ART,1
ms dhoni,PERSON,1
muslim,NORP,1
aribam syam sharma,ORG,1
alwal lake,WORK_OF_ART,1
buddha memorial park,PERSON,1
meitei mayek,PERSON,1
the “king kothi palace,ORG,1
the “paljor stadium,EVENT,1
the “pulie badze wildlife sanctuary,ORG,1
patna museum,ORG,1
the “chowmahalla palace,ORG,1
mohammad ali baig,PERSON,1
vishnu,PERSON,1
the “pemayangtse monastery,ORG,1
the manipuri new year,EVENT,1
saikhom mirabai,WORK_OF_ART,1
olympic,EVENT,1
the “banjhakri falls and,ORG,1
