token,count
Indian,231
Hindu,205
India,167
Shiva,64
Temple,54
British,43
Lake,38
National,38
River,34
Festival,33
Kannada,33
Krishna,33
Park,30
Manipur,30
Buddhist,28
Portuguese,28
Sanctuary,26
Bengali,26
Mahabharata,25
Fort,24
Wildlife,22
Assamese,21
Government,21
UNESCO,20
Vishnu,19
Hindi,19
dance,18
Manipuri,18
Himalayan,17
Tibetan,17
South,16
Sri,15
Kashmiri,15
Museum,15
Hills,15
Jharkhand,15
Valley,15
World,15
Hindus,15
Asian,15
festival,14
Falls,14
Naga,14
Empire,14
Devi,13
Dance,13
Church,13
Shah,13
Kol,13
Hinduism,13
Ganges,12
Mughal,12
Nagaland,12
Sikkim,12
Hyderabad,12
Palace,12
Deccan,12
Ali,12
Assam,12
Imphal,12
English,12
Muslim,12
Buddha,11
Gandhi,11
Chola,11
French,11
New,11
Karnataka,11
Government India,11
Delhi,11
language,10
Wancho,10
Heritage,10
Meitei,10
Singh,10
Sikh,10
Sanskrit,10
Ladakh,10
Puducherry,10
Mela,9
Puja,9
Durga,9
State,9
Kakatiya,9
Paigah,9
Sagar,9
Kaveri,9
Yakshagana,9
Munda,9
Santhal,9
Tamil,9
Telugu,9
Geographical,9
Asia,9
Kashmir,9
Goddess,9
Catholic,9
Ramayana,9
theÃ,9
Ganga,8
Venkateswara,8
Monastery,8
Bengal,8
Kangra,8
Stadium,8
Nizam,8
King,8
Tripura,8
Tulu,8
Khan,8
Roman,8
North,8
Godavari,8
European,8
League,8
BC,8
Dravidian,8
Diwali,8
BCE,8
Yamuna,8
Kingdom,8
House,8
theÂ,8
Maharaja,8
Terracotta,7
Shri,7
Jesus,7
Vijayanagara,7
Award,7
Brahmaputra,7
Shakti,7
Eastern,7
Gelug,7
Bareli,7
Kumaoni,6
Caves,6
Tiger,6
Reserve,6
Guru,6
Pola,6
embroidery,6
Jarawa,6
painting,6
Great,6
Bagh,6
Village,6
Pulie,6
Qutb,6
Jah,6
Asaf,6
International,6
Art,6
St,6
Mysore,6
Sonam,6
Diu,6
Mekhela,6
Meenakshi,6
Pahari,6
One,6
Vedic,6
