entity,count
Indian,230
Hindu,205
India,161
Shiva,64
British,42
Krishna,33
Manipur,30
Kannada,30
River,29
Buddhist,27
Portuguese,27
Bengali,26
Mahabharata,24
Government,21
Assamese,20
UNESCO,20
Vishnu,19
Hindi,19
National,18
Manipuri,17
Himalayan,16
Temple,16
Tibetan,16
Hindus,15
Asian,15
South,15
World,14
Kashmiri,14
Jharkhand,14
Valley,13
Hinduism,13
Naga,13
Imphal,12
English,12
Muslim,12
Ganges,11
New,11
Deccan,11
Shah,11
Karnataka,11
Mughal,11
Government India,11
Delhi,11
Sikh,10
Sri,10
Empire,10
Sanskrit,10
Ladakh,10
French,10
Puducherry,10
Nagaland,10
Lake,9
Geographical,9
Asia,9
Kashmir,9
Sikkim,9
Goddess,9
Buddha,9
Catholic,9
Ramayana,9
Assam,9
theÃ,9
Singh,8
Telugu,8
Roman,8
Wancho,8
Fort,8
Durga,8
Heritage,8
North,8
Meitei,8
Kakatiya,8
Godavari,8
Paigah,8
Church,8
Hills,8
European,8
League,8
BC,8
Dravidian,8
Diwali,8
BCE,8
Yamuna,8
Festival,8
Tamil,8
Kaveri,8
Kol,8
Santhal,8
Kingdom,8
House,8
theÂ,8
Chola,8
Maharaja,8
Shakti,7
Nizam,7
Venkateswara,7
Bengal,7
Khan,7
Munda,7
Eastern,7
King,7
Gelug,7
Bareli,7
One,6
Ganga,6
Vedic,6
Nyishi,6
Gond,6
Vijayadashami,6
Ashwayuja,6
Persian,6
Devi,6
Parvati,6
Games,6
Rama,6
Islamic,6
Nizams,6
Ali,6
Mizo,6
Jain,6
Gandhi,6
Road,6
Kartika,6
Tulu,6
Yadava,6
Ranchi,6
Chhattisgarh,6
Leh,6
Arjuna,6
Brahmaputra,6
Oraon,6
Uttarakhand,6
Pakistan,6
Award,6
Mumbai,6
ODI,6
Haryana,6
aÃ,6
toÃ,6
Indo,5
Year,5
Jarawa,5
Kangra,5
Sagar,5
Punjab,5
Karmapa,5
Kakatiyas,5
Western,5
Asaf,5
Qutb,5
Jah,5
Hyderabad,5
School,5
Bangladesh,5
Radha,5
Bhil,5
Bhagavata,5
Tungabhadra,5
Hindustani,5
East,5
Sonam,5
Shah Jahan,5
Jahan,5
Sea,5
Kamarupa,5
Mekhela,5
Meenakshi,5
Jesus,5
Andhra,5
Pradesh,5
Shri,5
Pahari,5
Padma,5
Bangkok,5
Kuruba,5
Plateau,5
Guru,4
Village,4
Kurma,4
Sankranti,4
Kumaoni,4
Sudurpashchimi,4
Carnatic,4
Vijayawada,4
Eluru,4
Virabhadra,4
Tani,4
Sino Tibetan,4
Sino,4
Patkai,4
Tagin,4
Danteshwari,4
Baul,4
Tagore,4
Roy,4
Kali,4
Pola,4
Bhima,4
Rakshasi,4
Himalaya,4
Tibet,4
Sikkimese,4
Lepcha,4
Palace,4
Art,4
West,4
Sangai,4
Holi,4
Shillong,4
Falls,4
Thenzawl,4
Wildlife,4
War,4
Myanmar,4
Pulie,4
Charminar,4
Musi,4
Mulugu,4
International,4
Secunderabad,4
Shaivite,4
Manikya,4
Gautama,4
Aryan,4
Emperor,4
State,4
Lingayats,4
Yakshagana,4
Park,4
Mylara,4
Deepavali,4
Lingayat,4
Vijayanagara,4
Harihara,4
Chandravamsa,4
Navaratri,4
Dasara,4
Tiger,4
Reserve,4
Olympian,4
Tamar,4
Buru,4
Mysore,4
Spituk,4
Kargil,4
India's,4
Ministry,4
Bhavan,4
Snapdeal,4
Ashoka,4
Ekasarana,4
Numaligarh,4
Guwahati,4
Terracotta,4
Murugan,4
GI,4
Adi,4
Panguni,4
China,4
Chamoli,4
Andhra Pradesh,4
Rayalaseema,4
Kalinga,4
Burma,4
Jammu,4
Padma Shri,4
Earth,4
Monastery,4
Nepal,4
Viceroy,4
Filmfare,4
France,4
Basavanna,4
Shaivism,4
Hos,4
Hazaribagh,4
New Delhi,4
Pandu,4
Ilbari,4
Apostle,4
Diu,4
Shaktism,4
Tamilakam,4
Ho,4
Vennela,4
Theyyam,4
Nagara,4
Dhak,4
Connaught,4
Gangotri,3
Kedarnath,3
Makar Sankranti,3
Makar,3
Nallamala,3
Burman,3
Satnami,3
Rabindranath,3
Battle,3
Kala,3
Hidimbi,3
Pratap,3
Dzongu,3
Gallery,3
University,3
Shahi,3
Meitei Mayek,3
Mayek,3
Sanctuary,3
Angami,3
Culture,3
Range,3
Changu,3
Parliament,3
Telangana,3
VI,3
Musunuri,3
Recherla,3
Forest,3
Purana,3
Haveli,3
Archaeological,3
Survey,3
District,3
Mir,3
Bahadur,3
Bagh,3
Traditional,3
Indian Super League,3
Super,3
Institute,3
Technology,3
Bollywood,3
Osman,3
Tripura,3
Gautama Buddha,3
Patna,3
Gupta,3
Maurya,3
coast,3
Classical,3
Indus,3
Great,3
Narmada,3
Rudra,3
Konkani,3
Awadh,3
States,3
Gowda,3
Maa,3
Constitution,3
Marang Buru,3
Marang,3
Kerala,3
Book,3
Mughal Emperor,3
Holy,3
Saint,3
Brahmaputra River,3
Northeast,3
Sador,3
Museum,3
South Indian,3
UNESCO World Heritage Site,3
Site,3
Southern,3
South Asia,3
Sati,3
Chand,3
Garhwal,3
Languages,3
Importance,3
Deva,3
Buddhism,3
Female,3
Akademi,3
Kohima,3
Teesta,3
Bharat,3
Bahmani,3
Begum,3
Kodava,3
Amman,3
Ganesha,3
Health,3
St,3
Purnima,3
Kavadi,3
Sonam Gyatso,3
Gyatso,3
Purnagiri,2
Yamunotri,2
Glacier,2
Guru Gobind Singh,2
Gobind,2
Kumaon,2
Etikoppaka,2
Pedana,2
zari,2
Bagata,2
Valmiki,2
Poraja,2
Khond,2
Kondadora,2
Mukadora,2
Kotia,2
Sufi,2
Devotional,2
holige,2
obbattu,2
bobbatlu,2
Geographical Indication,2
Indication,2
Tirumala,2
Lepakshi,2
Anantapur,2
Ghantasala,2
Indo Roman,2
Rajamahendravaram,2
Kalvari,2
Adis,2
Monpa,2
Tai Khamti,2
Tai,2
Khamti,2
Idu,2
Miju,2
Tibeto Burman,2
Tibeto,2
Apatani,2
Rupa,2
Jigaon,2
Shergaon,2
Bomdila,2
Agreement Trade Related Aspects Intellectual Property Rights,2
Agreement,2
Trade,2
Related,2
Aspects,2
Intellectual,2
Property,2
Rights,2
Phagun,2
Shravan,2
Gregorian,2
Danteswari,2
Muria,2
Rajim,2
Haridwar,2
Deepawali,2
Halba,2
Bhatra,2
Rabindranath Tagore,2
Durga Puja,2
Puja,2
Battle Plassey,2
Plassey,2
Indian Renaissance,2
Renaissance,2
Malla,2
Gajan,2
Dharmathakur,2
Shukla,2
Joishtho,2
Mahishasura,2
Mirzapur,2
Shakha,2
Noa,2
Pani,2
Peak,2
Havelock,2
Negrito,2
Island,2
Katra,2
Mahakali,2
Mahalakshmi,2
Mahasarasvati,2
Surya,2
Tulip,2
Kashmiri Pandits,2
Pandits,2
Doru,2
Shahabad,2
Kot,2
Hidimba,2
Rangcha,2
Kulvi,2
Maharana,2
Himachali,2
Chamba,2
Dharma,2
Shimla,2
Naldehra,2
Kangra Valley,2
Hand,2
Gujranwala,2
Patiala,2
Sindhi,2
Amritsar,2
Ludhiana,2
Amritsarâ,2
